Stan Marsh

Appearanes,263

Top Episodes
Episode,Lines,Rating
South Park Post Covid,125,7.5
Clubhouses,113,7.9
My Future Self n Me,91,8.6
South Park Post Covid The Return of Covid,87,7.5
Prehistoric Ice Man,86,7.9
Towelie,82,8.3
Big Gay Als Big Gay Boat Ride,79,7.6
Cartman Gets an Anal Probe,78,7.9
Spookyfish,77,8.4
Stanleys Cup,77,7.4
Average

Top Profanities
Profanity,Count
god,163
hell,148
stupid,100
ass,85
shit,63
kill,52
crap,51
fuck,50
gay,45
sucks,39

Season Progression
Season,Lines,Profanity Count,Profanity Frequency
1,680,137,2.78,
2,855,129,2.11,
3,646,131,2.48,
4,607,109,2.0,
5,498,92,2.3,
6,683,107,1.58,
7,449,50,1.15,
8,502,80,1.68,
9,441,35,0.87,
10,313,30,1.23,
11,305,32,1.09,
12,275,26,0.95,
13,308,67,2.16,
14,277,68,2.58,
15,249,66,2.7,
16,327,37,1.08,
17,116,34,2.23,
18,202,34,1.74,
19,96,15,1.97,
20,33,5,1.25,
21,135,13,0.97,
22,177,29,1.69,
23,85,8,0.87,
24,315,62,1.89,
25,176,26,1.4,
26,140,11,0.86,
